split,size,unique_size,mean_pass_rate,mean_reward_mean,mean_reward_std,mean_length_tokens,mean_answer_diversity,mean_format_valid_rate
easy,257,257,0.8574902723735408,0.8574902723735408,0.2828310444556585,1106.431420233463,0.2490272373540856,1.0
medium,766,766,0.385443864229765,0.385443864229765,0.4674909289175151,1476.8113577023498,0.5691906005221932,1.0
hard,5977,5977,0.011669733980257654,0.011615358875690146,0.030986503924596582,1881.590011711561,0.7878534381796888,0.9997281244771624
high_variance,2100,2100,0.24541666666666667,0.24539285714285713,0.2930265487490673,1629.2960119047618,0.7093452380952381,0.9998809523809524
long_reasoning,1750,1750,0.010285714285714285,0.010228571428571429,0.017386015286608124,2048.0,0.8163571428571429,0.9997142857142857
core_medium,383,383,0.37761096605744127,0.37761096605744127,0.4660411784271814,1700.3064621409922,0.5819190600522193,1.0
mixed_balanced,2000,2000,0.209,0.2089625,0.16999975611758963,1736.713625,0.673875,0.9998125
